# evals,min,q25,med,q75,max,ave
5300.0,0.0020952414774124584,0.004708721613680833,0.010280363619709087,0.01876895472747163,0.2299389216417624,0.02986296089526735
5350.0,0.0013836270445228603,0.004242153451261133,0.009609078969015337,0.016672296356636362,0.2299389216417624,0.028733887862039516
5400.0,0.0013836270445228603,0.004117037265485409,0.0078916124842638,0.014195349780527224,0.19909514489174476,0.026870504215008428
5450.0,0.0009695363746467232,0.0034213221137109106,0.007059666316628769,0.014147577390356342,0.19909514489174476,0.025518008390238163
5500.0,0.0009695363746467232,0.003259304825411382,0.006865380918272787,0.013516558931364286,0.19909514489174476,0.024685499779071328
5550.0,0.0008859423771466504,0.002562742951860432,0.006041765801354333,0.010577096170276273,0.19909514489174476,0.023437245364358275
5600.0,0.0008859423771466504,0.002139455770444101,0.005662099067247241,0.009947382754548421,0.19909514489174476,0.02264743058527897
5650.0,0.0008859423771466504,0.0019420023065061806,0.004798673996053857,0.00906529533457136,0.19718487431820172,0.021679738672109972
5700.0,0.0007088552135295291,0.0015917764467082243,0.004165057195271391,0.008427526610953043,0.19718487431820172,0.021065584242689183
5750.0,0.0005968121799061272,0.001548081417601051,0.0038827066744075572,0.008427526610953043,0.19718487431820172,0.02063079971617073
5800.0,0.0003868324057475776,0.0013056645076868116,0.0038827066744075572,0.008427526610953043,0.17849338013524071,0.019309354287967317
5850.0,0.00036764700793993183,0.0010777178779165515,0.0035002863942790743,0.008357092864747076,0.14468881025666167,0.017447618441443644
5900.0,0.00027553089468828246,0.0009419913414236416,0.0030830193224231145,0.005743485267162405,0.14468881025666167,0.016946260632169266
5950.0,0.00027553089468828246,0.0007901756435712787,0.0026413256634088503,0.004831908284798986,0.14468881025666167,0.015030821918485007
6000.0,0.0002678529811175248,0.0007724876442797854,0.0020085700183452683,0.0048283672570934065,0.14468881025666167,0.013831033761197266
6050.0,0.0002678529811175248,0.0006500453486310648,0.0019040914157560235,0.004789881244601734,0.14468881025666167,0.01361558162748863
6100.0,0.0002678529811175248,0.0005788978889377818,0.0018890792727050652,0.0040350738201347935,0.14468881025666167,0.01307061140494615
6150.0,0.00014944660517785026,0.0004994714078083378,0.0015220601714242494,0.0037514168401115654,0.14468881025666167,0.012781972714409074
6200.0,0.00014944660517785026,0.0004455774959689516,0.0014471520605926355,0.0033736960484828157,0.14468881025666167,0.012635551126518799
6250.0,0.00014944660517785026,0.00039130452333387746,0.0012962218123445232,0.0031310103786537694,0.14468881025666167,0.011822394592742055
6300.0,0.00011340203271169804,0.00030470111366093374,0.0012467191034111875,0.002995873357497598,0.14468881025666167,0.011589892303544928
6350.0,0.00011340203271169804,0.0002970725867109597,0.0012467191034111875,0.0026675420831275202,0.14468881025666167,0.011537207076055518
6400.0,0.00010319875568827816,0.00023073640616228208,0.0010920411578215971,0.0019686083263558657,0.1326224678422264,0.010610790226700183
6450.0,9.728368397557309e-05,0.00019434079751243458,0.0010502096565188127,0.00188687937073916,0.10426654969429015,0.009545417258060103
6500.0,8.588555953745597e-05,0.0001731092360375366,0.0008565748136422626,0.0017697242952761333,0.10426654969429015,0.009376788041608703
6550.0,8.183378363376523e-05,0.00016818452734831496,0.0007826784170244681,0.0014848219126121246,0.10426654969429015,0.00898022384444308
6600.0,7.53303481736467e-05,0.00016026466847775375,0.0006068646851107067,0.0012551434465143823,0.10426654969429015,0.008698803324542337
6650.0,5.8110808965173296e-05,0.00012946766120452117,0.00055771279171097,0.0011008935856178972,0.10060541378986756,0.007963869546257722
6700.0,4.506543779583228e-05,0.00011164472584656283,0.0005127648721983083,0.0010928768446914377,0.07086162519864106,0.00608305700697744
6750.0,3.5566213399008985e-05,8.694953537357586e-05,0.00042602410743783977,0.0009928905753105908,0.07086162519864106,0.006033207380787441
6800.0,3.5566213399008985e-05,8.694953537357586e-05,0.00034634405310632853,0.0008105004802008749,0.07086162519864106,0.005905973712328801
6850.0,1.962024626125036e-05,7.769978117677629e-05,0.0002959965661329154,0.0008105004802008749,0.07086162519864106,0.00577684319102833
6900.0,1.962024626125036e-05,5.718984407672309e-05,0.0002959965661329154,0.0007129615404125806,0.07086162519864106,0.005704698499199741
6950.0,1.962024626125036e-05,5.718984407672309e-05,0.0002784120182529286,0.0005904873377032964,0.07086162519864106,0.005548334392094754
